"caseid","v212","v301","v302","v191","v133","v102","v104","v005","v000","v007","v001","v002","v025","v525","v717","v613","v012","SurveyId"
"    00122020  1",19,3,3,56288,13,1,95,565949,"CO7",2015,12,2020,1,18,3,3,43,"CO2015DHS"
"    00122020  2",NA,3,3,56288,16,1,95,511673,"CO7",2015,12,2020,1,18,1,2,23,"CO2015DHS"
"    00122121  4",13,3,3,24976,0,1,95,565949,"CO7",2015,12,2121,1,12,0,2,40,"CO2015DHS"
"    00122222  1",19,3,3,85383,13,1,16,495025,"CO7",2015,12,2222,1,17,7,3,36,"CO2015DHS"
"    00122424  3",NA,3,3,92549,14,1,8,525037,"CO7",2015,12,2424,1,17,0,3,26,"CO2015DHS"
"    00131313  3",NA,3,0,91639,15,1,95,526597,"CO7",2015,13,1313,1,0,9,3,21,"CO2015DHS"
"    00131313  4",NA,3,0,91639,12,1,95,460306,"CO7",2015,13,1313,1,0,7,5,19,"CO2015DHS"
"    00131414  6",17,3,3,37973,10,1,0,526597,"CO7",2015,13,1414,1,15,7,2,22,"CO2015DHS"
"    00131515  2",15,3,3,41666,14,1,4,540350,"CO7",2015,13,1515,1,96,0,96,27,"CO2015DHS"
"    00131515  5",20,3,3,41666,12,1,95,540350,"CO7",2015,13,1515,1,19,7,3,28,"CO2015DHS"
"    00131616  2",20,3,3,33025,9,1,95,582456,"CO7",2015,13,1616,1,96,7,4,41,"CO2015DHS"
"    00131616  3",NA,3,0,33025,12,1,95,526597,"CO7",2015,13,1616,1,0,0,1,21,"CO2015DHS"
"    00131616  6",23,3,3,33025,13,1,2,540350,"CO7",2015,13,1616,1,15,3,3,28,"CO2015DHS"
"    00131717  2",19,3,3,-60726,15,1,95,540350,"CO7",2015,13,1717,1,15,1,3,29,"CO2015DHS"
"    00131818  2",NA,3,0,58374,15,1,95,526597,"CO7",2015,13,1818,1,0,1,1,22,"CO2015DHS"
"    00132222  4",NA,3,3,78788,12,1,11,460306,"CO7",2015,13,2222,1,17,0,3,19,"CO2015DHS"
"    00132424  2",NA,3,3,103446,16,1,95,582456,"CO7",2015,13,2424,1,23,1,2,41,"CO2015DHS"
"    00132424  4",NA,3,0,103446,16,1,95,540350,"CO7",2015,13,2424,1,0,3,2,27,"CO2015DHS"
